Druck Unsicherheit Kanal0 Kanal1 Kanal2 Kanal3 Kanal4 Kanal5 Kanal6 Kanal7 Kanal8 Kanal9 Kanal10 Kanal11 Kanal12 Kanal13 Kanal14 Kanal15 Kanal16 Kanal17 Kanal18 Kanal19 Kanal20 Kanal21 Kanal22 Kanal23 Kanal24 Kanal25 Kanal26 Kanal27 Kanal28 Kanal29 Kanal30 Kanal31 Kanal32 Kanal33 Kanal34 Kanal35 Kanal36 Kanal37 Kanal38 Kanal39 Kanal40 Kanal41 Kanal42 Kanal43
-999.883585 7.0999177 10241.0 13545.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30730.0 30725.0 30747.0 31099.0 30839.0 30978.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5618.0 38459.0 63687.0 15219.0 32458.0 25551.0 32082.0 43605.0
-999.602661 7.09990366 10241.0 13548.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30731.0 30725.0 30749.0 31099.0 30839.0 30978.0 54948.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5837.0 38456.0 63687.0 15219.0 32458.0 25551.0 40846.0 43605.0
-999.489196 7.0998791 10241.0 13551.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30733.0 30724.0 30747.0 31099.0 30838.0 30980.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6056.0 38459.0 63687.0 15219.0 32458.0 25551.0 33674.0 43605.0
-999.235176 7.09993784 10241.0 13554.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30733.0 30728.0 30749.0 31101.0 30839.0 30981.0 54946.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6275.0 38456.0 63687.0 15219.0 32458.0 25551.0 3130.0 43605.0
-999.298871 7.09998986 10241.0 13557.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30733.0 30725.0 30747.0 31101.0 30839.0 30981.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6494.0 38459.0 63687.0 15219.0 32458.0 25551.0 60289.0 43605.0
-999.381825 7.09993709 10241.0 13560.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30733.0 30725.0 30747.0 31099.0 30839.0 30981.0 54948.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6713.0 38456.0 63687.0 15219.0 32458.0 25551.0 26206.0 43605.0
-999.470323 7.09992274 10241.0 13563.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30731.0 30725.0 30747.0 31098.0 30839.0 30981.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6932.0 38459.0 63687.0 15219.0 32458.0 25551.0 25506.0 43605.0
-999.575786 7.09996699 10241.0 13566.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30733.0 30725.0 30746.0 31099.0 30838.0 30981.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7151.0 38459.0 63687.0 15219.0 32458.0 25551.0 13714.0 43605.0
-999.49456 7.09996806 10241.0 13569.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30734.0 30724.0 30746.0 31099.0 30838.0 30980.0 54949.0 54938.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7370.0 38459.0 63687.0 15219.0 32458.0 25551.0 18144.0 43605.0
-999.55976 7.09994517 10241.0 13572.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30731.0 30724.0 30746.0 31097.0 30838.0 30979.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7589.0 38456.0 63687.0 15219.0 32458.0 25551.0 42646.0 43605.0
-999.59448 7.09991434 10241.0 13575.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30731.0 30724.0 30750.0 31098.0 30837.0 30981.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7808.0 38456.0 63687.0 15219.0 32458.0 25551.0 34638.0 43605.0
-999.530405 7.09998133 10241.0 13578.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30732.0 30726.0 30750.0 31099.0 30837.0 30978.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8027.0 38459.0 63687.0 15219.0 32458.0 25551.0 3773.0 43605.0
-999.581508 7.09992609 10241.0 13581.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30731.0 30725.0 30747.0 31099.0 30837.0 30979.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8246.0 38459.0 63687.0 15219.0 32458.0 25551.0 36795.0 43605.0
-999.639466 7.10002617 10241.0 13584.0 801.0 596.0 581.0 564.0 307.0 31.0 6.0 48.0 30733.0 30725.0 30749.0 31098.0 30837.0 30980.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8465.0 38456.0 63687.0 15219.0 32458.0 25551.0 12150.0 43605.0
-999.72453 7.09993205 10241.0 13587.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30733.0 30725.0 30749.0 31098.0 30837.0 30980.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8684.0 38456.0 63687.0 15219.0 32458.0 25551.0 7150.0 43605.0
-999.523893 7.09991374 10241.0 13590.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30731.0 30724.0 30749.0 31098.0 30838.0 30980.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8903.0 38456.0 63687.0 15219.0 32458.0 25551.0 53913.0 43605.0
-999.615625 7.10001976 10241.0 13593.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30731.0 30725.0 30749.0 31098.0 30837.0 30980.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9122.0 38456.0 63687.0 15219.0 32458.0 25551.0 19319.0 43605.0
-999.457151 7.09989329 10241.0 13596.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30731.0 30726.0 30749.0 31099.0 30838.0 30981.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9341.0 38456.0 63687.0 15219.0 32458.0 25551.0 61027.0 43605.0
-999.52542 7.09995417 10241.0 13599.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30733.0 30725.0 30749.0 31101.0 30839.0 30981.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9560.0 38456.0 63687.0 15219.0 32458.0 25551.0 50540.0 43605.0
-999.588721 7.09996485 10241.0 13602.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30734.0 30725.0 30749.0 31101.0 30839.0 30981.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9779.0 38456.0 63687.0 15219.0 32458.0 25551.0 20192.0 43605.0
-999.272168 7.09988216 10241.0 13605.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30734.0 30726.0 30751.0 31101.0 30842.0 30981.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9998.0 38459.0 63687.0 15219.0 32458.0 25551.0 11981.0 43605.0
-999.180451 7.09990138 10241.0 13608.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30734.0 30727.0 30751.0 31103.0 30839.0 30982.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10217.0 38456.0 63687.0 15219.0 32458.0 25551.0 49823.0 43605.0
-999.040104 7.09981366 10241.0 13611.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30736.0 30730.0 30752.0 31103.0 30842.0 30982.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10436.0 38459.0 63687.0 15219.0 32458.0 25551.0 51925.0 43605.0
-998.785324 7.09988949 10241.0 13614.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30734.0 30729.0 30753.0 31102.0 30841.0 30983.0 54948.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10655.0 38456.0 63687.0 15219.0 32458.0 25551.0 863.0 43605.0
-998.647258 7.09985958 10241.0 13617.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30735.0 30729.0 30753.0 31103.0 30842.0 30983.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10874.0 38456.0 63687.0 15219.0 32458.0 25551.0 38392.0 43605.0
-998.618267 7.09989482 10241.0 13620.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30735.0 30730.0 30754.0 31102.0 30842.0 30982.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11093.0 38456.0 63687.0 15219.0 32458.0 25551.0 61337.0 43605.0
-998.766825 7.09987834 10241.0 13623.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30736.0 30729.0 30754.0 31105.0 30843.0 30984.0 54949.0 54937.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11312.0 38456.0 63687.0 15219.0 32458.0 25551.0 14396.0 43605.0
-998.848811 7.0998103 10241.0 13626.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30735.0 30729.0 30753.0 31102.0 30842.0 30984.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11531.0 38456.0 63687.0 15219.0 32458.0 25551.0 47151.0 43605.0
-998.719707 7.0998434 10241.0 13629.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30735.0 30729.0 30752.0 31103.0 30842.0 30982.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11750.0 38459.0 63687.0 15219.0 32458.0 25551.0 19836.0 43605.0
-998.547494 7.09980374 10241.0 13632.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 30734.0 30728.0 30753.0 31103.0 30841.0 30985.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11969.0 38456.0 63687.0 15219.0 32458.0 25551.0 28486.0 43605.0
-998.317145 7.09987666 10241.0 13635.0 802.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30735.0 30729.0 30753.0 31103.0 30842.0 30983.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12188.0 38459.0 63687.0 15219.0 32458.0 25551.0 52963.0 43605.0
